,COURSE_CODE,EXAM_HALL,INDEX_RANGE,NO.,PAPER_TITLE,_id,exam_date,exam_time
0,UGRC223,N' BLOCK / K. FOLSON BLDG.,,105,INTRO. TO AFRICAN STUDIES/ AFRICA & THE DIASPORA,5bbd476a2204865c5030d55a,25/11/2017,07:30:00
1,UGRC229,N' BLOCK / K. FOLSON BLDG.,,110,INTRO. TO AFRICAN STUDIES/ CULTURE & DEVELOPMENT,5bbd476b2204865c5030d55b,25/11/2017,07:30:00
2,UGRC230,N' BLOCK / K. FOLSON BLDG.,,225,INTRO. TO AFRICAN STUDIES/ GENDER AND CILTURE,5bbd476b2204865c5030d55c,25/11/2017,07:30:00
3,UGRC221,LARWAY/ ORACCA TETTEH BLDG./ SCH. OF NURSING,,10,"INTRO. TO AFRICAN STUDIES/ AFRICAN ART, ITS PHIL & CRI.",5bbd476b2204865c5030d55d,25/11/2017,07:30:00
4,UGRC232,LARWAY/ ORACCA TETTEH BLDG./ SCH. OF NURSING,,88,INTRO. TO AFRICAN STUDIES/ ISSUES IN AFRICA'S POPULATION,5bbd476b2204865c5030d55e,25/11/2017,07:30:00
5,UGRC233,LARWAY/ ORACCA TETTEH BLDG./ SCH. OF NURSING,,24,INTRO. TO AFRICAN STUDI/ OUR AFRICAN HERITAGE OAHTL,5bbd476b2204865c5030d55f,25/11/2017,07:30:00
6,UGRC234,LARWAY/ ORACCA TETTEH BLDG./ SCH. OF NURSING,,20,INTRO. TO AFRICAN STUDIES/ PHILOSOPHY IN AFRICAN CULTURES,5bbd476b2204865c5030d560,25/11/2017,07:30:00
7,CSIT301,NEW N' BLOCK ,,129,MOBILE DEVELOPMENT,5bbd476b2204865c5030d561,25/11/2017,11:30:00
8,KISW301,NEW N' BLOCK ,,23, INTERMEDIATE KISWAHILI USAGE I,5bbd476b2204865c5030d562,25/11/2017,11:30:00
9,PESS301,NEW N' BLOCK ,,11,SPORT POLICY AND GOVERNANCE,5bbd476b2204865c5030d563,25/11/2017,11:30:00
10,ABCS303,NEW N' BLOCK ,,45,COMPARATIVE ANIMAL PHYSIOLOGY,5bbd476b2204865c5030d564,25/11/2017,11:30:00
11,ACTU303,NEW N' BLOCK ,,38,INTRODUCTION TO FINANCIAL MATHEMATICS,5bbd476b2204865c5030d565,25/11/2017,11:30:00
12,PAHS303,NEW N' BLOCK ,,25,HEALTH SERVICES MANAGEMENT,5bbd476b2204865c5030d566,25/11/2017,11:30:00
13,PHIL310,NEW N' BLOCK ,,15,AFRICAN PHILOSOPHY,5bbd476b2204865c5030d567,25/11/2017,11:30:00
14,CSCD313,NEW N' BLOCK ,,77,DATABASE MANAGEMENT SYSTEMS,5bbd476b2204865c5030d568,25/11/2017,11:30:00
15,CHIN331,NEW N' BLOCK ,,3,CHINESE LANGUAGE PROFICIENCY 1,5bbd476b2204865c5030d569,25/11/2017,11:30:00
16,THEA369,NEW N' BLOCK ,,11,INTRODUCTION TO COSTUME DESIGN,5bbd476b2204865c5030d56a,25/11/2017,11:30:00
17,DMLA401,NEW N' BLOCK ,,59,RESEARCH METHODS,5bbd476b2204865c5030d56b,25/11/2017,11:30:00
18,EASC417,NEW N' BLOCK ,,17,MINERALOGY,5bbd476b2204865c5030d56c,25/11/2017,11:30:00
19,GHLS441,NEW N' BLOCK ,,1,WRITTEN LITERATURE OF A GHANAIAN LANGUAGE,5bbd476b2204865c5030d56d,25/11/2017,11:30:00
20,MATH440,NEW N' BLOCK ,,29,ABSTRACT ALGEBRA II,5bbd476b2204865c5030d56e,25/11/2017,11:30:00
21,UGRC210,NEW N' BLOCK,,740,ACADEMIC WRITING II                                                                                      ,5bbd476b2204865c5030d56f,25/11/2017,15:30:00
22,UGRC210, N' BLOCK / K. FOLSON BLDG.,,360,ACADEMIC WRITING II                                                                                       ,5bbd476b2204865c5030d570,25/11/2017,15:30:00
23,HIST311, N' BLOCK / K. FOLSON BLDG.,,19,HISTORY OF GHANA UP TO 1800,5bbd476b2204865c5030d571,25/11/2017,15:30:00
24,SREL477, N' BLOCK / K. FOLSON BLDG.,,8,COMPARATIVE ETHICS,5bbd476b2204865c5030d572,25/11/2017,15:30:00
25,GEOG479, N' BLOCK / K. FOLSON BLDG.,,6,ENVIRONMENTAL ECOLOGY,5bbd476b2204865c5030d573,25/11/2017,15:30:00
26,UGRC210,GCB BLDG,,500,ACADEMIC WRITING II                                                                                       ,5bbd476b2204865c5030d574,25/11/2017,15:30:00
27,UGRC210,LARWAY/ ORACCA TETTEH BLDG./ SCH. OF NURSING,,280,ACADEMIC WRITING II                                                                                      ,5bbd476b2204865c5030d575,25/11/2017,15:30:00
28,UGRC210,CENTRAL CAFETERIA,,480,ACADEMIC WRITING II                                                                                      ,5bbd476b2204865c5030d576,25/11/2017,15:30:00
29,UGRC210,COLLEGE OF AGRIC LT3,(COLLEGE OF HEALTH SCIENCES),154,ACADEMIC WRITING II                                                                                      ,5bbd476b2204865c5030d577,25/11/2017,15:30:00
30,UGRC210,TOP OF BOOKSHOP (E9 & E10),,44,ACADEMIC WRITING II                                                                                      ,5bbd476b2204865c5030d578,25/11/2017,15:30:00
31,PAHS411,TOP OF BOOKSHOP (E9 & E10),,43,ENVIRONMENTAL MANAGEMENT,5bbd476b2204865c5030d579,25/11/2017,15:30:00
